,chromatography,class,food_term_count,gen_term_count,sci_term_count,spectrometry,spectrophotometry,chem_ent_ratio,chem_term_count,bigram_score
0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.2222222222222222,16,0.0
1,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.19318181818181818,17,0.0
2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09090909090909091,2,0.0
3,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.21153846153846154,11,0.0
4,1.0,1.0,7.0,0.0,0.0,1.0,0.0,0.06557377049180328,4,0.0
5,1.0,0.0,8.0,2.0,0.0,1.0,0.0,0.10204081632653061,5,0.0
6,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.15384615384615385,8,0.0
7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04,1,0.0
8,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.22857142857142856,16,0.0
9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10588235294117647,9,0.0
10,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.08333333333333333,3,0.0
11,1.0,0.0,12.0,1.0,0.0,1.0,0.0,0.13580246913580246,11,0.0
12,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.2,11,0.0
13,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.015151515151515152,1,0.0
14,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0625,1,0.0
15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,1,0.0
16,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.16071428571428573,9,0.0
17,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.125,2,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
19,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,9,0.0
20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1,0.0
21,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.03125,3,0.0
22,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5294117647058824,9,0.0
23,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.03225806451612903,1,0.0
24,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.17582417582417584,16,0.0
25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.20512820512820512,16,0.0
26,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1625,13,0.0
27,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.125,6,0.0
28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1,0.0
29,1.0,0.0,11.0,1.0,0.0,1.0,0.0,0.039473684210526314,3,0.5
30,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.10526315789473684,6,0.0
31,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1111111111111111,1,0.0
32,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.36585365853658536,15,0.0
33,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.1935483870967742,12,0.0
34,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.25301204819277107,21,0.0
35,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.10638297872340426,5,0.0
36,0.0,0.0,22.0,1.0,0.0,1.0,0.0,0.21348314606741572,19,0.0
37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
38,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.23529411764705882,12,0.0
39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19047619047619047,4,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
41,0.0,1.0,15.0,1.0,0.0,0.0,0.0,0.12162162162162163,9,0.0
42,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.1111111111111111,5,0.0
43,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.07547169811320754,4,0.2
44,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.20967741935483872,13,0.0
45,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.07692307692307693,4,0.0
46,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.015384615384615385,1,0.0
47,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.15789473684210525,3,0.0
48,1.0,0.0,5.0,3.0,0.0,1.0,0.0,0.14285714285714285,6,0.0
49,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,1,0.0
51,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.17073170731707318,7,0.0
52,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,1,0.0
53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
54,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05128205128205128,2,0.0
55,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,12,0.0
56,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.014705882352941176,1,0.0
57,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.26,13,0.0
58,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.07575757575757576,5,0.0
59,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.18571428571428572,13,0.0
60,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.33783783783783783,25,0.0
61,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.15492957746478872,11,0.0
62,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.1016949152542373,6,0.0
63,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.05263157894736842,2,0.0
64,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.14864864864864866,11,0.0
65,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.21621621621621623,16,0.0
66,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.25,21,0.0
67,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0
68,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.1794871794871795,14,0.0
69,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1797752808988764,16,0.0
70,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.14285714285714285,8,0.0
71,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.12359550561797752,11,0.0
72,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0
73,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.028169014084507043,2,0.0
74,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.2608695652173913,6,0.0
75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3258426966292135,29,0.0
76,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.060240963855421686,5,0.0
77,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.22727272727272727,10,0.0
78,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0847457627118644,5,0.0
79,1.0,0.0,13.0,0.0,0.0,1.0,0.0,0.11842105263157894,9,0.0
80,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.1702127659574468,8,0.0
81,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05405405405405406,4,0.0
82,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.21428571428571427,6,0.0
83,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.26785714285714285,15,0.0
84,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.09615384615384616,5,0.0
85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.22448979591836735,11,0.0
86,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.20754716981132076,11,0.0
87,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.1323529411764706,9,0.0
88,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.1111111111111111,5,0.0
89,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.08602150537634409,8,0.0
90,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.12727272727272726,7,0.0
91,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.1276595744680851,6,0.0
92,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.06349206349206349,4,0.0
93,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.25,10,0.0
94,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.06896551724137931,4,0.0
95,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.1875,9,0.0
96,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.2361111111111111,17,0.0
97,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.1694915254237288,10,0.0
98,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.23,23,0.0
99,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.175,14,0.0
100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2702702702702703,10,0.0
101,1.0,0.0,15.0,0.0,2.0,0.0,0.0,0.07920792079207921,8,0.0
102,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3157894736842105,12,0.0
103,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.11363636363636363,5,0.0
104,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0625,5,0.0
105,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.22916666666666666,11,0.0
106,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.16666666666666666,8,0.0
107,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3448275862068966,10,0.0
108,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.175,7,0.0
109,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.16981132075471697,18,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,2,0.0
111,1.0,1.0,9.0,3.0,0.0,0.0,0.0,0.1326530612244898,13,0.0
112,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.1875,9,0.0
113,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1941747572815534,20,0.0
114,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.1388888888888889,10,0.0
115,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.37037037037037035,20,0.0
116,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.35,14,0.0
117,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.09090909090909091,7,0.0
118,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.14492753623188406,10,0.0
119,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.17857142857142858,20,0.0
120,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.14814814814814814,8,0.0
121,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.04504504504504504,5,0.0
122,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.10909090909090909,6,0.0
123,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.125,6,0.0
124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,8,0.0
125,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.18333333333333332,11,0.0
126,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.10526315789473684,4,0.0
127,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.17647058823529413,9,0.0
128,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.08333333333333333,4,0.0
129,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07692307692307693,5,0.0
130,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.36507936507936506,23,0.0
131,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.11764705882352941,6,0.0
132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08333333333333333,2,0.0
133,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1111111111111111,6,0.0
134,0.0,1.0,4.0,1.0,5.0,1.0,0.0,0.16,12,0.0
135,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.11363636363636363,5,0.0
136,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.04878048780487805,4,0.0
137,0.0,1.0,13.0,0.0,0.0,1.0,0.0,0.1282051282051282,10,0.0
138,1.0,0.0,13.0,0.0,3.0,1.0,0.0,0.23157894736842105,22,0.0
139,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.14516129032258066,9,0.0
140,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.2826086956521739,13,0.0
141,0.0,0.0,9.0,0.0,5.0,1.0,0.0,0.2898550724637681,20,0.0
142,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.014705882352941176,1,0.0
143,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.14285714285714285,12,0.0
144,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.16455696202531644,13,0.0
145,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.18571428571428572,13,0.0
146,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0
147,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.32142857142857145,18,0.0
148,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.06756756756756757,5,0.0
149,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.21428571428571427,12,0.0
150,1.0,0.0,2.0,5.0,1.0,0.0,0.0,0.27450980392156865,28,0.0
151,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.12359550561797752,11,0.0
152,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.04411764705882353,3,0.0
153,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.13592233009708737,14,0.0
154,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.2857142857142857,4,0.0
155,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4444444444444444,28,0.0
156,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.1111111111111111,6,0.0
157,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.13953488372093023,12,0.0
158,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07894736842105263,3,0.0
159,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.43333333333333335,26,0.0
160,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.11764705882352941,8,0.0
161,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.15384615384615385,8,0.0
162,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.14285714285714285,5,0.0
163,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.04,2,0.0
164,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.2727272727272727,12,0.0
165,1.0,1.0,9.0,0.0,1.0,0.0,0.0,0.15384615384615385,8,0.0
166,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.07692307692307693,4,0.0
167,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.21,21,0.0
168,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.13924050632911392,11,0.0
169,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.26,13,0.0
170,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.11702127659574468,11,0.0
171,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.3125,15,0.0
172,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.40625,13,0.0
173,1.0,0.0,9.0,9.0,0.0,1.0,0.0,0.05714285714285714,4,0.0
174,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.1276595744680851,12,0.0
175,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.08695652173913043,4,0.0
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,4,0.0
177,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.09259259259259259,5,0.0
178,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13725490196078433,7,0.0
179,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.18571428571428572,13,0.0
180,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.22448979591836735,11,0.0
181,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.13513513513513514,5,0.0
182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14,7,0.0
183,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.10810810810810811,4,0.0
184,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.125,4,0.0
185,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.07042253521126761,5,0.0
186,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.30434782608695654,21,0.0
187,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0875,7,0.0
188,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.1566265060240964,13,0.0
189,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0847457627118644,5,0.0
190,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.3880597014925373,26,0.0
191,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05128205128205128,4,0.0
192,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.18421052631578946,7,0.0
193,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.14285714285714285,5,0.0
194,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0125,1,0.0
195,1.0,1.0,8.0,1.0,1.0,0.0,0.0,0.17543859649122806,10,0.0
196,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.14285714285714285,9,0.0
197,1.0,1.0,12.0,0.0,0.0,1.0,0.0,0.18518518518518517,10,0.0
198,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.2988505747126437,26,0.0
199,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.33962264150943394,18,0.0
200,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.16666666666666666,7,0.0
201,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.30357142857142855,17,0.0
202,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0.2375,19,0.0
203,1.0,1.0,7.0,0.0,0.0,1.0,0.0,0.22,11,0.0
204,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.16091954022988506,14,0.0
205,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.323943661971831,23,0.0
206,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.11475409836065574,7,0.0
207,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2916666666666667,7,0.0
